Каталог|Саженцы декоративных кустарников;Гортензия древовидная Голден Анабель;Гортензия древовидная Голден Анабель;939;https://klubsadprof.ru/upload/iblock/74d/c34d9o8ii93ubw1eohhn2see5j0wpz5d/gortenziya_drevovidnaya_anabelg_669_rub.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Пестролистная форма от сорта «Annabelle». Куст высотой 120-150 см и шириной 90-150 см. Листья зелёные с нерегулярной кремово-жёлтой каймой. Соцветия крупные, симметричные, диаметром до 25 см. Цветки кремово-белые. Цветёт на побегах текущего года очень обильно, в июле-августе. Требует плодородной, влажной, хорошо дренированной почвы. Место полутенистое или солнечное. Очень эффектна в одиночных и групповых посадках. Зона 3 (до -34°С).					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Барбарис Тунберга Сильвер Бьюти;Барбарис Тунберга Сильвер Бьюти;291;https://klubsadprof.ru/upload/iblock/de5/6xz9xdpcuek30didkkv4o25j0vu3k6wh/barbaris_tunberga_silgver_bgyuti.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Барбарис Тунберга Сильвер Бьюти Отличается невысоким ростом, раскидистой кроной, декоративен благодаря молодым побегам нежно розового цвета и листьям серебристо-зеленым с бело-розовыми разводами, осенью красными. Кустарник 0,5-1 м высотой и 1,5 м шириной. Крона раскидистая, широко-распростертая. Очень декоративен благодаря молодым побегам нежно розового цвета равномерно расположеным по всей кроне с серо-коричневыми шипами и листьям серебристо-зеленым с бело-розовыми разводами. Осенью листья красные. Цветет в мае, цветы одиночные или собраны в соцветия по несколько штук (2-5), внутри желтые снаружи красные, расположены по всему побегу. Плоды продолговатые, многочисленные, красные, созревают в сентябре, долго не опадают.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Гортензия древовидная Кандибелле Баблгам;Гортензия древовидная Кандибелле Баблгам;758;https://klubsadprof.ru/upload/iblock/30c/tu815mfctyaln4vyx4z3cqyi3ds0g9dm/Gortenziya-drevovidnaya-Kandibelle-Bablgam.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Гортензия древовидная Candybelle Bubblegum (Кандибелле Баблгам) - куст компактный, высотой 80 см и шириной 90 см. Крона округлая. Ветви сильные, хорошо держат соцветия. Цветки розовые. Соцветия плотные крупные. Цветение обильное, в июле-сентябре. Листья зелёные с бронзовым оттенком. Место солнечное или полутенистое. Почва плодородная, влажная, дренированная. Морозостойкость до -30°С.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Пузыреплодник Литтл Грини;Пузыреплодник Литтл Грини;349;https://klubsadprof.ru/upload/iblock/442/92jpbczddy80z06lr8z6qipnh485o98k/puzyreplodnik_littl_grini.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Пузыреплодник калинолистный Литтл Грини - многолетний кустарник с полушаровидной кроной. Листва насыщенного светло-зелёного цвета. Зацветает многочисленными белыми щитовидными соцветиями. Прекрасно подходит для создания живых изгородей. Предпочитает солнечные и полузатенённые места с лёгкими и плодородными почвами без застоя воды. Легко переносит формирующую обрезку и санитарную по весне. В первые 2-3 года зимой желательно растения прикрывать. Рекомендуется для выращивания в контейнерах на балконах и террасах.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Барбарис Тунберга Фламинго;Барбарис Тунберга Фламинго;525;https://klubsadprof.ru/upload/iblock/fab/qy1mt42r2fb1i4j5u9szlp24xpg5dsog/barbaris_tunberga_flamingo.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Саженцы барбариса Тунберга Фламинго (Berberis thunbergii Flamingo) – удивительный сорт с невероятно красивой листвой, яркими розовыми побегами и эффектной кроной. Ценится растение за возможность украсить любой уголок сада. Горящее серебристо-розовое пятно озарит любую композицию. Мелкие листики с мраморным рисунком покрывают розоватые побеги. Крона имеет шаровидную форму размером 1,5х1,5 метра. Цветёт барбарис в мае не менее двух недель желтоватыми мелкими цветами. А к осени, когда листва опадёт, куст покрывается ярко-красными ягодами, украшающими его всю зиму.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Керрия японская Голден Гуинеа;Керрия японская Голден Гуинеа;332;https://klubsadprof.ru/upload/iblock/b9d/ez7skfvfgxuzrf1i6ua1lgmj0fkl1v59/kerriya_yaponskaya_golden_guinea.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Саженцы керрии японской Голден Гинея (Golden Guinea) характеризуются тонкими поникающими ветвями и элегантной формой листьев. К преимуществам сорта относят следующие характеристики:
кустарник хорошо разрастается;
ранний срок цветения;
тонкий аромат цветков. Посадка крупномеров позволяет сразу же оценить декоративные возможности этого растения. Блестящая и ажурная листва к осени приобретает золотые оттенки. Цветки у керрии японской Голден Гинея очень крупные с золотисто-желтым оттенком лепестков. Кустарник обладает высокой стойкостью к поражениям вредителями.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Клематис Блю Лайт;Клематис Блю Лайт;807;https://klubsadprof.ru/upload/iblock/e26/jjo150177et35oc5ko2t20w9gzaoyw8n.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Исключительно красивый сорт со светло-голубыми, всегда махровыми цветками. Цепляется за опоры листовыми черешками. Особенно хорош для посадки у ограждений, беседок, решёток и других садовых опор. Может карабкаться по натуральным опорам, например, лиственным или хвойным кустарникам, особенно с жёлтыми листьями или цветками. Используется на срезку. Подходит для выращивания на солнечных местах, в небольших садах и в контейнерах на балконах и террасах.Поскольку клематисы могут расти на одном месте более 20 лет, заранее очень глубоко готовят землю. Обычно копают ямы размером не менее 60х60х60 см, а для групповых посадок участок готовят по всей площади.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Рододендрон Лиз Дак Пёпл;Рододендрон Лиз Дак Пёпл;522;https://klubsadprof.ru/upload/iblock/554/7jbh4durt9nu51zvlgtmvt1272z4ellb/rododendron_liz_dak_pe_pl.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Рододендрон – вечнозеленый кустарник. Предпочитает, кислую, влажную (но без застоя воды), богатую перегноем почву. Лучше растет в полутени, в защищенном от сквозняков месте, с высокой влажностью воздуха.Кусты высокие от 1,5 до 3 метров. Цветки собраны в соцветия, различной окраски.Рододендрон достаточно зимостоек, но в первые пару лет требует укрытия на зиму. Перед зимовкой, пока не промерзла почва, растение необходимо хорошо пролить.Саженец с упакованной корневой системой, в красочной упаковке. До посадки хранить при t 0+2°С					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Вейгела цветущая Нана Пурпуреа;Вейгела цветущая Нана Пурпуреа;231;https://klubsadprof.ru/upload/iblock/4e6/bkt7krseue0r2c5niq0rxyakifai1y8a/veigela_cvetushaya_nana_purpurea.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Описание Вейгела цветущая ""Нана пурпуреа""  Декоративно цветущий, листопадный кустарник, он принадлежит к семейству Жимолостные. Вейгела Нана Пурпуреа (Weigela florida Nana Purpurea) - компактный округлый кустарник с вертикальными побегами, высотой до 1м. Листья овальные, заостренные, в начале темные красно-коричневые, затем зеленеют. Цветет обильно в июне-июле розовыми, в середине более светлые, колокольчатыми цветками, собранными в соцветия по 3-4шт. Любит солнечные места, плодородные дренированные почвы.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Саженцы декоративных кустарников;Гортензия крупнолистная Гертруда Глан;Гортензия крупнолистная Гертруда Глан;320;https://klubsadprof.ru/upload/iblock/a39/fo10qw16fdrqx4e8lqt3c24ecc4yq0le/gortenziya_krupnolistnaya_gertruda_glan.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Саженцы гортензии крупнолистной Гертруда Глан (Gertrud Glahn) относятся к одному из наиболее проверенному временем сорту, долгое время пользовавшемуся большой популярностью в Британии. Взрослый куст достигает размеров до 4-5 м в высоту и 5 м в диаметре. Цветы тёмно-розовые, при кислых грунтах с наличием в них алюминия цвет от фиолетового до синего. Возможна регулировка цвета подкормкой с содержанием этого металла производимой в период завязки бутонов. Также возможно приобретение крупномеров гортензии крупнолистной Гертруда Глан.					</div>
<section class=""slider-info"">
</section>
</div>";
